14,14,0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,
,OLR001,Aohm Lo,Aohm Hi,A Fill Lo,A Fill Hi,A Drain Lo,A Drain Hi,Bohm Lo,Bohm Hi,B Fill Lo,B Fill Hi,B Drain Lo,B Drain Hi,,,,,,,
Step Levels,0.05,98,102,8.5,8.5,8.5,8.5,98,102,8.5,8.5,8.5,8.5,,,,,,,
Tolerence,0.01,98,102,7.91,8.01,7.55,7.65,98,102,7.685,7.785,7.325,7.425,,,,,,,
Sample Rate,0.05,197,203,7.46,7.56,7.1,7.2,197,203,7.235,7.335,6.875,6.975,,,,,,,
Resistor,100,296,304,7.01,7.11,6.65,6.75,296,304,6.785,6.885,6.425,6.525,,,,,,,
M Level cal,1,395,405,6.56,6.66,6.2,6.3,395,405,6.335,6.435,5.975,6.075,,,,,,,
B Level cal,0,494,506,6.11,6.21,5.75,5.85,494,506,5.885,5.985,5.525,5.625,,,,,,,
Max Fill Rate,0.002,593,607,5.66,5.76,5.3,5.4,593,607,5.435,5.535,5.075,5.175,,,,,,,
Empty in,8,692,708,5.21,5.31,4.85,4.95,692,708,4.985,5.085,4.625,4.725,,,,,,,
Full in,2.6,791,809,4.76,4.86,4.4,4.5,791,809,4.535,4.635,4.175,4.275,,,,,,,
Rows,12,890,910,4.31,4.41,3.95,4.05,890,910,4.085,4.185,3.725,3.825,,,,,,,
Cols,18,989,1011,3.86,3.96,3.5,3.6,989,1011,3.635,3.735,3.275,3.375,,,,,,,
Report Template,C:\Users\ff107\OneDrive\Documents\GitHub\PWC-OLS\$ReportFiles\ReportTemplate_01.xlsx,1088,1112,3.41,3.51,3.05,3.15,1088,1112,3.185,3.285,2.825,2.925,,,,,,,
,,1088,1112,2.5,2.5,2.5,2.5,1088,1112,2.5,2.5,2.5,2.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Test patterns for use with TEST_Spec_LUT.vi to test this logic 
Below Test Cases are tabulated in Level Rig ATP OLS-001 Config1.xlsx ",,,,,,,,,,,,,,,,,,,
,FILL,,,,,,,,,,,,,,,,,,,
Test Index,Spce Index,,Switch Point,ATP Level,Measure (n-1) ,Range,Ohms  R(n-1),Level Trigger - {R(n)+R(n-1)}/2,,,,Test Index,Spce Index,,Switch Point,ATP Level,Measure (n-1),,Ohms  R(n-1),Level Trigger - {R(n)+R(n-1)}/2
,0,100,8.5,,,,,,,,,,0,100,8.5,8.5,,,,
2,1,100,7.96,,,,,,,,,2,1,100,7.735,7.685,,,,
4,2,200,7.51,7.46,7.735,7.812,100,150,,,,4,2,200,7.285,7.235,6.700,6.767,100,150
6,3,300,7.06,7.01,7.285,7.358,200,250,,,,6,3,300,6.835,6.785,6.250,6.313,200,250
8,4,400,6.61,6.56,6.835,6.903,300,350,,,,8,4,400,6.385,6.335,5.800,5.858,300,350
10,5,500,6.16,6.11,6.385,6.449,400,450,,,,10,5,500,5.935,5.885,5.350,5.404,400,450
12,6,600,5.71,5.66,5.935,5.994,500,550,,,,12,6,600,5.485,5.435,4.900,4.949,500,550
14,7,700,5.26,5.21,5.485,5.540,600,650,,,,14,7,700,5.035,4.985,4.450,4.495,600,650
16,8,800,4.81,4.76,5.035,5.085,700,750,,,,16,8,800,4.585,4.535,4.000,4.040,700,750
18,9,900,4.36,4.31,4.585,4.631,800,850,,,,18,9,900,4.135,4.085,3.550,3.586,800,850
20,10,1000,3.91,3.86,4.135,4.176,900,950,,,,20,10,1000,3.685,3.635,3.100,3.131,900,950
22,11,1100,3.46,3.41,3.685,3.722,1000,1050,,,,22,11,1100,3.235,3.185,2.663,2.689,1000,1050
24,12,1100,2.5,2.5,2.955,2.985,1000,1050,,,,24,12,1100,2.5,2.5,1.250,1.263,1000,1050
,,,,,,,,,,,,,,,,,,,,
DRAIN,DRAIN,,,,,,,,,,,,,,,,,,,
Test Index,Spce Index,,Switch Point,ATP Level,Measure (n-1) ,Range,Ohms  R(n-1),Level Trigger - {R(n)+R(n-1)}/2,,,,Test Index,Spce Index,,Switch Point,ATP Level,Measure (n-1),,Ohms  R(n-1),Level Trigger - {R(n)+R(n-1)}/2
,0,100,8.500,8.500,,,,,,,,,0,100,8.500,8.500,,,,
2,1,100,7.600,7.650,7.375,7.449,,,,,,2,1,100,7.375,7.425,7.963,8.042,,
4,2,200,7.150,7.200,6.925,6.994,100,150,,,,4,2,200,6.925,6.975,7.150,7.222,100,150
6,3,300,6.700,6.750,6.475,6.540,200,250,,,,6,3,300,6.475,6.525,7.235,7.307,200,250
8,4,400,6.250,6.300,6.025,6.085,300,350,,,,8,4,400,6.025,6.075,6.785,6.853,300,350
10,5,500,5.800,5.850,5.575,5.631,400,450,,,,10,5,500,5.575,5.625,6.335,6.398,400,450
12,6,600,5.350,5.400,5.125,5.176,500,550,,,,12,6,600,5.125,5.175,5.885,5.944,500,550
14,7,700,4.900,4.950,4.675,4.722,600,650,,,,14,7,700,4.675,4.725,5.435,5.489,600,650
16,8,800,4.450,4.500,4.225,4.267,700,750,,,,16,8,800,4.225,4.275,4.985,5.035,700,750
18,9,900,4.000,4.050,3.775,3.813,800,850,,,,18,9,900,3.775,3.825,4.535,4.580,800,850
20,10,1000,3.550,3.600,3.325,3.358,900,950,,,,20,10,1000,3.325,3.375,4.085,4.126,900,950
22,11,1100,3.100,3.150,2.775,2.803,1000,1050,,,,22,11,1100,2.875,2.925,3.635,3.671,1000,1050
24,12,1100,2.500,2.500,1.250,1.263,1000,1050,,,,24,12,1100,2.500,2.500,3.185,3.217,1000,1050
